Release Group,Gross,Maxtheater,Openning,Percent of total,Openning theater,Date,Year
Doraemon the Movie: Nobita's Little Star Wars 2021,"$170,954","3,742","$213,249",124.7%,"1,849",May 20,2022
Harry Potter and the Sorcerer's Stone2021 Re-release,"$166,684","1,032","$75,730",45.4%,"1,032",May 20,2022
Satan's Slaves 2: Communion,"$155,063","1,206","$86,188",55.6%,"1,206",Sep 16,2022
578 Magnum,"$152,905","1,942","$81,794",53.5%,"1,942",May 20,2022
Where the Crawdads Sing,"$151,790",667,"$42,487",28%,667,Sep 1,2022
Semantic Error: The Movie,"$146,409","1,559","$82,880",56.6%,"1,559",Sep 16,2022
Guimoon: The Lightless Door,"$144,755",710,,,,Jan 14,2022
Listeners: The Whispering,"$139,524","1,106","$75,789",54.3%,"1,106",Mar 4,2022
Decibel,"$137,614","2,170","$78,502",57%,"2,170",Dec 10,2022
Pil's Adventures,"$134,686",418,"$38,458",28.6%,418,May 31,2022
Beast,"$121,274",240,"$74,570",61.5%,204,Aug 19,2022
Ambulance,"$119,838","1,256","$62,668",52.3%,"1,256",Mar 18,2022
Moonbound,"$118,738",501,"$33,443",28.2%,501,May 31,2022
PAW Patrol: The Movie,"$115,147",418,"$56,362",48.9%,418,Feb 1,2022
KKN di Desa Penari,"$109,835",49,,,,Jul 22,2022
Evil Eye,"$107,761","1,306","$58,762",54.5%,"1,306",Nov 3,2022
Belle,"$106,371","1,049","$95,887",90.1%,"1,049",Feb 25,2022
Cracked,"$102,231","1,060","$48,698",47.6%,"1,060",Mar 25,2022
Two Buddies and a Badger: The Great Big Beast,"$101,255",466,"$29,951",29.6%,370,Feb 25,2022
Play with Me,"$100,018",791,"$48,698",48.7%,791,Mar 25,2022
The Little Penguin Pororo's Dinosaur Island Adventure,"$99,329",703,"$48,495",48.8%,703,Jul 15,2022
Shark Bait,"$98,439","1,008","$52,822",53.7%,"1,008",May 20,2022
Fast & Feel Love,"$96,437",986,"$50,639",52.5%,986,Apr 29,2022
Family Swap,"$92,667",568,"$51,939",56%,568,Feb 25,2022
Trinh Cong Son,"$89,820","1,205","$48,167",53.6%,"1,205",Jun 10,2022
The Lord of the Rings: The Fellowship of the Ring2022 Re-release,"$87,294",543,"$52,222",59.8%,543,Sep 30,2022
The Anchor,"$84,415",598,"$38,310",45.4%,598,May 20,2022
Ticket to Paradise,"$83,128",828,"$48,421",58.2%,828,Oct 14,2022
The Other Child,"$80,875",678,"$42,583",52.7%,678,Nov 18,2022
Jeepers Creepers: Reborn,"$78,676",991,"$50,543",64.2%,991,Sep 23,2022
Harry Potter and the Prisoner of Azkaban2022 Re-release,"$77,334",160,,,,Jun 17,2022
Sword Art Online: Progressive - Aria of a Starless Night,"$77,011",659,"$45,832",59.5%,659,Feb 25,2022
My Hero Academia: World Heroes' Mission,"$71,349",315,,,,Jan 14,2022
The Conjuring2020 Re-release,"$69,026",373,,,,Jan 14,2022
Midnight,"$68,427",634,"$27,265",39.8%,634,Apr 15,2022
Space Dogs: Tropical Adventure,"$68,248",537,,,,Apr 7,2022
Pee Nak 3,"$67,940","3,348","$295,616",435.1%,"3,348",Apr 15,2022
The Advent Calendar,"$67,877",661,"$27,574",40.6%,661,Apr 22,2022
The Woman King,"$66,523","1,061","$40,906",61.5%,"1,061",Oct 14,2022
Tazza: The Hidden Card2022 Re-release,"$65,989",19,,,,Jan 21,2022
OMG! Oh My Girl,"$63,757",648,"$30,837",48.4%,648,Dec 30,2022
Harry Potter and the Goblet of Fire2021 Re-release,"$63,583",691,"$40,270",63.3%,691,Nov 4,2022
Tazza 2: The Hidden Card,"$61,756",583,"$26,191",42.4%,583,Jan 21,2022
Hansan: Rising Dragon,"$60,526",664,"$25,666",42.4%,664,Aug 26,2022
Fearless Love,"$59,794",594,"$24,714",41.3%,594,Nov 18,2022
Nguoi Tình,"$59,357",585,"$20,556",34.6%,585,Feb 18,2022
Ghostbusters: Afterlife,"$57,239",634,"$35,030",61.2%,634,Jan 7,2022
Hunt,"$54,326",716,"$27,879",51.3%,716,Nov 25,2022
"Karem, la posesión","$53,885",985,"$53,885",100%,985,Jul 15,2022
Virus-32,"$51,649",384,"$19,788",38.3%,384,Jul 8,2022
Gulliver Returns,"$50,334",654,"$34,886",69.3%,654,Oct 28,2022
Jaifu Story,"$50,163",841,"$33,630",67%,841,Oct 7,2022
The Cellar,"$50,134",310,"$25,236",50.3%,310,May 27,2022
Muu Ke Thuong Luu,"$49,344",385,"$24,240",49.1%,385,Feb 4,2022
Harry Potter and the Chamber of Secrets2021 Re-release,"$48,155",165,,,,Jun 3,2022
The Quintessential Quintuplets Movie,"$46,347",502,"$34,517",74.5%,502,Oct 7,2022
Firestarter,"$46,280","1,001","$40,952",88.5%,"1,001",May 13,2022
Marry Me,"$45,673",285,"$22,096",48.4%,285,Feb 11,2022
NCT Dream The Movie: In A DREAM,"$43,782",359,"$16,348",37.3%,359,Dec 2,2022
The Lord of the Rings: The Two Towers2021 Re-release,"$43,074",333,"$30,551",70.9%,333,Oct 14,2022
Faces of Anne,"$42,912",707,"$23,002",53.6%,707,Nov 25,2022
The Night,"$42,670",638,"$54,771",128.4%,638,Mar 11,2022
Limit,"$40,656",108,"$2,867",7.1%,108,Sep 16,2022
Ke Thu Ba,"$40,316",578,"$19,436",48.2%,578,May 13,2022
The Unbearable Weight of Massive Talent,"$40,307",382,"$17,634",43.7%,382,Apr 22,2022
Blacklight,"$39,304",544,"$57,155",145.4%,544,Mar 11,2022
The Ledge,"$39,240",484,"$15,236",38.8%,484,Jun 3,2022
Qua Ben Lam Chi,"$39,207",829,"$24,997",63.8%,829,Apr 8,2022
Harry Potter and the Order of the Phoenix2022 Re-release,"$34,047",263,"$16,715",49.1%,263,Nov 18,2022
Confession,"$34,004",712,"$19,311",56.8%,712,Dec 8,2022
The Free Fall,"$33,311",443,"$19,066",57.2%,443,Apr 8,2022
Special Delivery,"$32,595",384,"$41,255",126.6%,384,Mar 11,2022
Amsterdam,"$31,866",573,"$19,240",60.4%,573,Oct 7,2022
Teluh,"$30,332",479,"$17,662",58.2%,479,Nov 4,2022
Honest Candidate 2,"$30,331",635,"$21,358",70.4%,635,Nov 4,2022
Harry Potter and the Chamber of Secrets2022 Re-release,"$30,223",387,,,,Mar 6,2022
Don't Worry Darling,"$30,177",557,"$19,017",63%,557,Oct 7,2022
Elvis,"$30,077",251,"$12,253",40.7%,251,Jun 24,2022
WarHunt,"$29,494",542,"$17,505",59.4%,542,May 13,2022
The Box,"$27,495",238,,,,Jan 14,2022
Escape from Mogadishu,"$27,326",377,"$15,000",54.9%,377,Jul 15,2022
Possessed,"$26,440",437,"$8,653",32.7%,437,Dec 8,2022
Run Hide Fight,"$25,383",233,"$9,148",36%,233,Apr 22,2022
Tro Choi Tu Than,"$24,991",398,"$14,357",57.4%,398,Sep 23,2022
Nightmare Alley,"$23,825",271,"$10,335",43.4%,271,Mar 18,2022
Project 'Gemini',"$23,650",63,,,,Jan 14,2022
Evangelion: 3.0+1.01 Thrice Upon a Time,"$22,749",300,"$15,192",66.8%,300,Sep 30,2022
Fall,"$22,101",494,"$11,639",52.7%,494,Aug 19,2022
Meander,"$21,842",119,,,,Jan 14,2022
Harry Potter and the Half-Blood Prince2022  Re-release,"$21,661",288,"$9,760",45.1%,288,Dec 2,2022
The Naked Truth,"$18,386","5,111","$559,934","3,045.4%","2,459",Feb 10,2022
The One Hundred,"$18,261",414,"$10,848",59.4%,414,Dec 2,2022
There Are No Saints,"$17,737",13,,,,Sep 9,2022
Material Girls2022 Re-release,"$17,552",53,,,,Apr 29,2022
Shin Ultraman,"$17,000",318,"$11,184",65.8%,318,Sep 30,2022
Nix,"$16,476",279,"$9,134",55.4%,279,Oct 7,2022
Sadako DX,"$15,716",503,"$11,130",70.8%,503,Dec 2,2022
Gaia,"$15,649",273,"$2,586",16.5%,22,Apr 1,2022
The Beast Below,"$15,391",205,"$7,910",51.4%,205,Sep 23,2022
Come Back Home,"$15,227",30,"$9,367",61.5%,,Dec 2,2022
Gekijouban Free! the Final Stroke - Part 1,"$14,603",58,"$7,631",52.3%,58,Mar 4,2022
They Crawl Beneath,"$12,693",240,"$7,854",61.9%,240,Oct 14,2022
Memento Mori: Dat,"$10,450",273,"$4,713",45.1%,273,Oct 7,2022
Life Is Beautiful,"$9,943",290,"$5,968",60%,290,Oct 28,2022
Seventeen Power of Love,"$9,436",415,"$9,436",100%,415,Apr 22,2022
Good Morning,"$9,265",27,"$4,765",51.4%,27,May 27,2022
Late Shift,"$9,055",33,,,,Dec 2,2022
Gintama: The Final,"$8,309",129,"$8,309",100%,129,Feb 11,2022
The House of No Man,"$19,490,980","11,271","$909,234",4.7%,"3,390",Jan 22,2023
Face Off 6: The Ticket of Destiny,"$11,538,081","10,121","$2,810,524",24.4%,"10,121",Apr 25,2023
Song of the South,"$5,771,947","6,631",,,,Oct 13,2023
Aquaman,"$5,319,040",273,"$10,186",0.2%,273,Nov 17,2023
Hustler vs Scammer (Sieu Lua Gap Sieu Lay),"$5,166,455","7,306","$1,013,154",19.6%,"7,306",Mar 2,2023
Chi Chi Em Em 2,"$5,109,674","3,483","$230,757",4.5%,"1,504",Jan 22,2023
Fast X,"$4,809,895","2,742","$1,713,589",35.6%,214,May 19,2023
Quy Cau,"$4,421,932","4,382","$421,509",9.5%,"2,733",Dec 22,2023
Elemental,"$4,006,145","5,102","$131,608",3.3%,"1,204",Jun 17,2023
The Last Wife,"$3,960,671","5,520","$1,100,643",27.8%,8,Nov 1,2023
Detective Conan: Black Iron Submarine,"$3,901,191","8,755","$625,333",16%,"5,093",Jul 15,2023
Aquaman and the Lost Kingdom,"$3,557,621","8,669","$1,170,989",32.9%,"8,669",Dec 22,2023
Doraemon the Movie: Nobita's Sky Utopia,"$3,499,539","5,734","$335,472",9.6%,"2,300",May 19,2023
Con Nhot Mot Chong,"$3,088,496","5,823","$753,234",24.4%,"5,823",Apr 21,2023
Transformers: Rise of the Beasts,"$3,023,752","9,359","$1,269,019",42%,"9,359",Jun 9,2023
The Soul Reaper,"$2,723,248","9,815","$1,031,641",37.9%,"9,815",Dec 14,2023
Ant-Man and the Wasp: Quantumania,"$2,643,347","9,055","$980,630",37.1%,"9,055",Feb 15,2023
The Nun II,"$2,570,523","9,800","$1,005,335",39.1%,"9,800",Sep 8,2023
Mission: Impossible - Dead Reckoning Part One,"$2,518,565","4,563","$622,158",24.7%,"4,563",Jul 8,2023
Guardians of the Galaxy Vol. 3,"$2,272,802","4,028","$638,014",28.1%,"4,028",May 3,2023
Death Whisperer,"$2,241,292","3,591","$269,871",12%,"2,198",Dec 27,2023
Love Reset,"$2,030,560","3,125","$383,606",18.9%,"3,047",Nov 10,2023
Bad Blood,"$1,746,869","6,310","$523,247",30%,"6,310",Aug 25,2023
Spider-Man: Across the Spider-Verse,"$1,738,697","3,642","$439,199",25.3%,"3,642",Jun 1,2023
Insidious: The Red Door,"$1,670,647","5,207","$508,204",30.4%,"5,207",Jul 12,2023
Migration,"$1,669,376","2,526","$344,038",20.6%,206,Dec 29,2023
Oppenheimer,"$1,487,520",205,"$431,746",29%,205,Aug 11,2023
Home for Rent,"$1,392,984","3,853","$300,009",21.5%,"3,853",Jun 21,2023
Marry My Dead Body,"$1,330,853","5,337","$432,207",32.5%,"5,337",Apr 7,2023
The Super Mario Bros. Movie,"$1,304,718","2,959","$425,826",32.6%,197,Apr 7,2023
The Marvels,"$1,257,400","6,280","$640,856",51%,"6,280",Nov 9,2023
Shin Jigen! Crayon Shin-chan the Movie,"$1,147,427","3,139",,,,Aug 18,2023
The Flash,"$1,146,070","5,726","$567,626",49.5%,"5,726",Jun 16,2023
The Expendables 4,"$1,142,925","4,743","$398,863",34.9%,"4,743",Sep 22,2023
Shazam! Fury of the Gods,"$990,886","5,827","$451,475",45.6%,"5,827",Mar 17,2023
Taylor Swift: The Eras Tour,"$961,778",578,"$357,544",37.2%,1,Nov 3,2023
The Moon,"$959,622","2,638","$267,469",27.9%,"2,638",Aug 10,2023
Tren Ban Nhau Duoi Ban Muu,"$951,294","3,979","$325,154",34.2%,"3,979",Dec 29,2023
Black Rose,"$941,566","3,488","$264,457",28.1%,"3,355",Nov 17,2023
Concrete Utopia,"$930,326","3,552","$98,847",10.6%,"1,430",Aug 26,2023
The Pope's Exorcist,"$874,991","3,518","$314,507",35.9%,"3,518",Apr 12,2023
Honey Sweet,"$789,990","2,635","$199,196",25.2%,"2,635",Sep 15,2023
Soulmate,"$769,640","3,016","$167,597",21.8%,"2,004",Mar 24,2023
Wonka,"$693,710","1,270",,,,Dec 6,2023
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$690,154","4,758",,,,Mar 18,2023
The Roundup: No Way Out,"$665,709","1,901","$204,214",30.7%,"1,901",May 31,2023
M3GAN,"$652,765",199,"$255,792",39.2%,199,Jan 27,2023
Cats in the Museum,"$602,722","1,419","$236,174",39.2%,"1,419",Apr 28,2023
Talk to Me,"$577,702","3,274","$241,569",41.8%,"3,274",Aug 11,2023
The Childe,"$564,557","1,977","$170,359",30.2%,"1,977",Jun 22,2023
Blue Beetle,"$562,594","1,121",,,,Aug 18,2023
The Little Mermaid,"$556,801","2,231","$169,266",30.4%,"2,231",May 26,2023
The Creator,"$556,300","1,469",,,,Sep 29,2023
Mummies,"$552,872",626,"$61,263",11.1%,501,Jan 22,2023
A Haunting in Venice,"$536,839","2,334",,,,Sep 15,2023
PAW Patrol: The Mighty Movie,"$530,121","2,582","$185,309",35%,"2,582",Sep 29,2023
Tri Am the Movie: Nguoi Giu Thoi Gian,"$524,872","1,148","$74,170",14.1%,"1,148",Apr 6,2023
The Boy and the Heron,"$513,913","1,937",,,,Dec 9,2023
Wish,"$506,917","2,767","$216,988",42.8%,"2,767",Nov 24,2023
Dungeons & Dragons: Honor Among Thieves,"$489,282","3,191","$220,817",45.1%,"3,191",Apr 20,2023
Missing,"$481,259","1,329","$125,362",26%,"1,329",Feb 23,2023
Past Lives,"$460,684","1,442","$117,763",25.6%,"1,442",Sep 28,2023
The Exorcist: Believer,"$436,818","3,237","$188,625",43.2%,"3,237",Oct 6,2023
Biet Doi Rat On,"$427,714","4,569","$235,240",55%,"4,569",Mar 30,2023
Jungle Bunch: Operation Meltdown,"$406,570","1,764","$223,005",54.9%,"1,764",Sep 1,2023
Consecration,"$403,718","3,377","$256,665",63.6%,"3,377",Feb 24,2023
Kumarn,"$403,462","2,995","$179,493",44.5%,"2,995",Oct 5,2023
Hoon Payon,"$350,170","1,659","$144,457",41.3%,"1,659",Jun 2,2023
Bear Man,"$349,276","1,390","$134,592",38.5%,"1,390",Apr 21,2023
Dr. Cheon and Lost Talisman,"$329,817","2,076","$142,758",43.3%,"2,076",Oct 6,2023
Haunted Mansion,"$325,043","2,038","$111,032",34.2%,"2,038",Jul 27,2023
Five Nights at Freddy's,"$322,489",931,"$164,563",51%,209,Oct 26,2023
Epic Tails,"$320,317","1,362","$71,189",22.2%,905,Feb 24,2023
The First Slam Dunk,"$318,747","2,133","$124,243",39%,"2,133",Apr 14,2023
Trolls Band Together,"$307,161",304,"$149,625",48.7%,204,Nov 17,2023
Tastes of Horror,"$300,468",647,"$69,988",23.3%,647,Oct 26,2023
Brave Citizen,"$271,316","1,345","$82,263",30.3%,"1,345",Nov 24,2023
Operation Fortune: Ruse de Guerre,"$266,849",359,"$24,637",9.2%,298,Jan 22,2023
The Last Voyage of the Demeter,"$257,442",80,,,,Aug 18,2023
The Boogeyman,"$250,647","1,376","$84,073",33.5%,"1,376",May 31,2023
Killers of the Flower Moon,"$247,399",547,,,,Oct 20,2023
The Ghost Station,"$231,214",796,"$88,777",38.4%,796,Apr 28,2023
Blue Whale,"$225,271","2,318","$80,322",35.7%,"2,318",Aug 3,2023
The Communion Girl,"$224,305","1,434","$106,239",47.4%,"1,434",Mar 17,2023
Indiana Jones and the Dial of Destiny,"$219,784","1,855","$106,987",48.7%,"1,855",Jun 29,2023
Daydreamers,"$210,038",287,,,,Dec 6,2023
Wolfoo and the Mysterious Island,"$204,461",274,,,,Oct 13,2023
The Equalizer 3,"$200,061","1,532","$94,130",47.1%,"1,532",Sep 1,2023
Midnight horror,"$199,024","1,955","$88,752",44.6%,"1,955",Jan 6,2023
The Hunger Games: The Ballad of Songbirds & Snakes,"$194,779",655,"$81,056",41.6%,335,Nov 17,2023
The Bridge Curse: Ritual,"$185,176","1,510","$81,251",43.9%,"1,510",Nov 24,2023
Pororo: Dragon Castle Adventure,"$182,821",385,"$20,011",10.9%,212,Jan 22,2023
Devils,"$179,135","1,269","$74,699",41.7%,"1,269",Jul 28,2023
The White Storm 3: Heaven or Hell,"$174,778","1,660","$91,339",52.3%,"1,660",Aug 4,2023
Fireheart,"$170,983",718,"$15,603",9.1%,299,May 3,2023
Zombie Ferry Station,"$166,340","1,747","$111,373",67%,"1,747",Sep 1,2023
Pulau,"$153,397","1,485","$74,869",48.8%,"1,485",Mar 31,2023
Ruby Gillman: Teenage Kraken,"$152,545",377,"$78,107",51.2%,190,Jun 30,2023
La Exorcista,"$147,558","1,354","$74,398",50.4%,"1,354",Jun 30,2023
Crayon Shin-chan: Mononoke Ninja Chinpuden,"$136,115",901,"$52,387",38.5%,901,Jan 6,2023
Big Trip 2: Special Delivery,"$135,118",671,"$6,694",5%,78,Feb 24,2023
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$134,842","1,044","$77,045",57.1%,"1,044",Feb 24,2023
How to Save the Immortal,"$131,859",958,"$65,234",49.5%,958,Mar 24,2023
Khi Ta Hai Lam,"$128,599","1,446","$49,820",38.7%,"1,446",Mar 3,2023
Single in Seoul,"$114,728",806,"$49,718",43.3%,806,Dec 15,2023
Inhuman Kiss: The Last Breath,"$108,451",645,"$59,164",54.6%,645,Apr 28,2023
No Hard Feelings,"$107,833",632,"$33,896",31.4%,632,Jun 22,2023
The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),"$105,370",458,,,,Nov 24,2023
Little Bird: The Big Quest,"$102,580",653,"$29,583",28.8%,578,Dec 15,2023
My Fairy Troublemaker,"$102,225",747,"$47,527",46.5%,747,Feb 19,2023
Children of the Mist,"$98,452",280,"$7,787",7.9%,114,Mar 17,2023
Touch Happiness,"$97,855",627,"$45,765",46.8%,627,Sep 1,2023
Giao Lo 8675,"$96,843","1,144","$45,020",46.5%,"1,144",Oct 3,2023
Ransomed,"$95,820",545,"$37,748",39.4%,545,Sep 1,2023
Rally Road Racers,"$94,300",473,"$19,881",21.1%,343,Jul 7,2023
The Black Demon,"$94,264",985,"$59,198",62.8%,985,May 12,2023
Men of Plastic,"$88,898",843,"$41,433",46.6%,843,Jan 6,2023
It Lives Inside,"$87,575",15,,,,Oct 20,2023
Target,"$87,250",800,"$32,207",36.9%,800,Sep 15,2023
Hello Jadoo: The Secret of Jeju Island,"$83,932",694,"$43,221",51.5%,694,Dec 15,2023
Live: Phat Truc Tiep,"$82,654","1,253","$48,305",58.4%,"1,253",Sep 22,2023
The One,"$82,055",66,,,,Mar 30,2023
Hostage: Missing Celebrity,"$80,161",350,"$9,561",11.9%,143,Feb 24,2023
Little Eggs: An African Rescue,"$79,996",615,"$44,479",55.6%,615,Jun 9,2023
The Dark Knight2023 Re-release,"$79,401",108,,,,Oct 18,2023
Ditto,"$76,283",611,"$25,533",33.5%,611,Feb 10,2023
Mavka: The Forest Song,"$75,976",561,"$36,923",48.6%,561,Jun 16,2023
The Inseparables,"$75,553",724,"$47,680",63.1%,724,Sep 1,2023
Renfield,"$73,625","1,187","$51,374",69.8%,"1,187",Apr 14,2023
Fanti,"$72,899","1,398","$45,331",62.2%,"1,398",Jul 28,2023
Sleep,"$71,852",185,,,,Oct 5,2023
Napoleon,"$70,512",488,"$31,732",45%,488,Dec 1,2023
Scarygirl,"$67,926",570,"$15,436",22.7%,281,Dec 29,2023
Monster,"$65,520",302,,,,Jul 15,2023
Sisu,"$61,140",184,"$32,031",52.4%,184,May 12,2023
Streamer,"$60,726",711,"$4,563",7.5%,153,Jul 28,2023
Long Live Love!,"$60,726",783,,,,Jul 15,2023
Inside the Yellow Cocoon Shell,"$59,762",439,"$21,857",36.6%,439,Aug 11,2023
Knock at the Cabin,"$59,067",180,"$37,048",62.7%,180,Feb 3,2023
Not Friends,"$56,028",901,"$23,448",41.9%,901,Dec 1,2023
Desire Grand Prix,"$55,418","1,047","$41,923",75.6%,"1,047",Mar 3,2023
The Undertaker,"$51,702",699,"$32,988",63.8%,699,Dec 15,2023
SUGA: Road to D-DAY,"$50,657",670,"$50,657",100%,670,Jun 16,2023
Khanzab,"$50,269",607,"$28,561",56.8%,607,May 26,2023
Plane,"$49,632",426,,,,Jan 25,2023
Hypnotic,"$49,002",555,"$25,958",53%,555,May 12,2023
Godless: The Eastfield Exorcism,"$47,724",756,"$33,347",69.9%,756,Sep 29,2023
Immersion,"$46,862",804,"$28,583",61%,804,Sep 22,2023
Miss Fortune,"$45,063",760,"$30,006",66.6%,760,Nov 3,2023
Deep Fear,"$43,949",670,"$22,729",51.7%,670,Aug 25,2023
Dear David,"$43,725",475,"$18,981",43.4%,475,Nov 10,2023
Retribution,"$43,711",839,"$28,419",65%,839,Sep 15,2023
Finnick,"$43,169",155,,,,Aug 18,2023
Creed III,"$41,883",382,"$21,108",50.4%,382,Mar 24,2023
Tid Noy,"$41,705",533,"$22,372",53.6%,533,May 5,2023
The Ghost Within,"$40,221",549,"$24,146",60%,549,Apr 14,2023
Cobweb,"$40,220",523,"$18,207",45.3%,523,Oct 13,2023
The Accursed,"$39,114",261,"$21,710",55.5%,261,May 12,2023
j-hope IN THE BOX,"$36,895",598,"$36,895",100%,598,Jun 16,2023
Batman Begins2023 Re-release,"$35,962",421,"$17,952",49.9%,421,Sep 27,2023
Sound of Silence,"$35,933",507,"$13,841",38.5%,507,Apr 21,2023
Lonely Castle in the Mirror,"$35,079",575,"$20,250",57.7%,575,Jun 30,2023
The Point Men,"$33,927",319,"$15,508",45.7%,319,Feb 19,2023
Guy Ritchie's the Covenant,"$33,704",293,"$10,327",30.6%,293,Apr 21,2023
Grave Lands,"$33,123",509,"$19,750",59.6%,509,Nov 10,2023
Siam Curse,"$32,510",940,"$32,510",100%,940,Dec 1,2023
Take Care of My Mom,"$31,839",566,"$16,710",52.5%,566,Jan 6,2023
Gran Turismo,"$31,120",412,,,,Aug 18,2023
My Heart Puppy,"$30,591",410,"$17,088",55.9%,410,Mar 17,2023
NCT NATION: To the World in Cinemas,"$29,252",22,,,,Dec 6,2023
Acid,"$28,371",497,"$20,596",72.6%,497,Sep 29,2023
Good Job,"$27,649","1,026","$27,649",100%,"1,026",Dec 1,2023
Shotgun Wedding,"$26,992",319,,,,Jan 27,2023
Anatomy of a Fall,"$26,072",127,"$8,241",31.6%,127,Nov 10,2023
My Precious,"$25,874",908,"$25,874",100%,908,Aug 11,2023
The Lockdown Hauntings,"$25,855",462,"$15,333",59.3%,462,Jan 6,2023
A Man of Reason,"$23,310",31,,,,Aug 18,2023
The Fabelmans,"$22,041",13,"$9,622",43.7%,,Feb 10,2023
IU Concert: The Golden Hour,"$21,949",233,"$8,979",40.9%,233,Sep 28,2023
"The Tunnel to Summer, the Exit of Goodbyes","$21,012",442,"$21,012",100%,442,Dec 1,2023
The Dark Knight Rises,"$20,380",80,,,,Nov 8,2023
Chebi: My Fluffy Friend,"$19,683",206,"$8,376",42.6%,206,May 3,2023
The Creeping,"$17,626",295,"$9,512",54%,295,May 26,2023
Love My Scent,"$17,399",398,"$11,293",64.9%,398,Jul 7,2023
Assassin Club,"$17,014",374,"$1,093",6.4%,71,Apr 14,2023
After Sundown,"$17,003",296,"$5,670",33.3%,296,Sep 15,2023
Air,"$16,555",205,"$7,223",43.6%,205,Apr 14,2023
The Curse of Medea,"$16,006",38,,,,Aug 18,2023
Man Suang,"$15,842",270,"$8,177",51.6%,270,Sep 29,2023
The Last 10 Years,"$15,702",407,"$16,589",105.6%,407,Aug 4,2023
Space Pups,"$15,671",278,"$9,715",62%,278,Jul 7,2023
Resident Evil: Death Island,"$15,469",386,"$10,580",68.4%,386,Jul 7,2023
Qodrat,"$15,404",409,"$9,577",62.2%,409,Feb 24,2023
Hopeless,"$14,896",320,"$8,228",55.2%,320,Nov 17,2023
My Worst Neighbour,"$14,861",371,"$8,184",55.1%,371,Jul 28,2023
Back Home,"$14,805","1,585","$133,559",902.1%,"1,585",Oct 26,2023
Mount Chiak,"$14,432",273,"$8,860",61.4%,273,Dec 15,2023
My Beautiful Man: Eternal,"$14,049",438,"$11,123",79.2%,438,Apr 14,2023
Road to Boston,"$13,544",36,,,,Oct 20,2023
You & Me & Me,"$12,406",442,"$8,695",70.1%,442,Apr 7,2023
Mai,"$22,184,037","11,129","$2,055,973",9.3%,"6,784",Feb 10,2024
Exhuma,"$6,611,268","11,123","$2,643,915",40%,"11,123",Mar 13,2024
Kung Fu Panda 4,"$4,684,354","9,718","$2,198,296",46.9%,"9,718",Mar 8,2024
Gap Lai Chi Bau,"$3,749,297","2,628","$364,384",9.7%,6,Feb 2,2024
Dune: Part Two,"$1,535,100","2,865","$388,787",25.3%,"2,865",Mar 1,2024
Spy x Family Code: White,"$1,063,386",878,"$147,282",13.9%,878,Feb 10,2024
The Beekeeper,"$799,821","2,456","$205,536",25.7%,"2,456",Jan 12,2024
"Dao, Pho Va Piano","$666,334",571,"$36,775",5.5%,93,Feb 23,2024
Noah's Ark,"$656,562",767,"$141,211",21.5%,767,Feb 10,2024
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$511,679","2,423","$320,017",62.5%,"2,423",Feb 23,2024
Madame Web,"$419,786",310,"$134,470",32%,1,Feb 14,2024
Baghead,"$401,968","1,754","$200,949",50%,"1,754",Mar 1,2024
Dogs at the Opera,"$295,244",886,"$163,028",55.2%,886,Feb 16,2024
Citizen of a Kind,"$279,853","1,134","$104,204",37.2%,"1,134",Mar 1,2024
Argylle,"$264,095",701,"$78,220",29.6%,701,Feb 10,2024
Quy Co Thua Ke 2,"$258,635",479,,,,Mar 8,2024
It Remains,"$242,996","2,352","$113,743",46.8%,"2,352",Jan 18,2024
No Way Up,"$216,884",797,"$78,765",36.3%,158,Jan 26,2024
Alienoid: The Return to the Future,"$192,288","1,760","$93,000",48.4%,"1,760",Jan 10,2024
Dog Days,"$176,084",612,"$65,006",36.9%,612,Feb 23,2024
Nightmare Resort,"$172,886",784,,,,Jan 26,2024
Katak: The Brave Beluga,"$133,921",902,"$16,374",12.2%,363,Jan 21,2024
Pororo Popstar Adventure,"$124,184",543,"$65,243",52.5%,543,Feb 16,2024
Sana,"$111,356","1,210","$62,475",56.1%,"1,210",Jan 10,2024
The Exorcists,"$97,296",668,"$59,812",61.5%,668,Feb 23,2024
All Fun and Games,"$88,797","1,261","$39,431",44.4%,"1,261",Jan 26,2024
Sang Den,"$83,140","1,041","$28,371",34.1%,381,Feb 10,2024
Night Swim,"$81,462",786,"$57,761",70.9%,786,Feb 23,2024
The Verge of Death,"$53,155",731,"$29,841",56.1%,731,Jan 5,2024
The Bricklayer,"$51,724",818,"$36,824",71.2%,818,Jan 5,2024
The Promised Land,"$47,102",937,"$47,102",100%,937,Mar 22,2024
Marita,"$47,089",406,"$35,524",75.4%,406,Mar 8,2024
Noryang: Deadly Sea,"$44,174",439,"$13,209",29.9%,439,Jan 21,2024
The Taste of Things,"$38,473",577,"$38,473",100%,577,Mar 22,2024
Ape vs. Mecha Ape,"$37,591",682,"$26,033",69.3%,682,Jan 12,2024
Silent Love,"$25,849",499,"$16,760",64.8%,499,Mar 8,2024
Dead Man,"$21,735",594,"$21,735",100%,594,Mar 22,2024
Trà,"$16,984",338,"$16,984",100%,338,Feb 10,2024
